авторство авторства
алфавит алфавиту
беларускать беларуская
български български
вернуться вернитесь
версия версия
викидать викиданных
викимедиа викимедиа
википедия википедии википедия
вклад вклад
войти войти
действовать действовать
дополнительный дополнительные
доступный доступен
другой других
ещё ещё
заглавный заглавная
запись запись
зарегистрировать зарегистрированный
заявление заявление
знак знак
значение значений
избранный избранные
инструмент инструменты
использование использования
история история
источник источник
категория категория
код код
кодекс кодекс
конфиденциальность конфиденциальности
короткий короткий
кук куки
литография литография
лицензия лицензии
материал материал
мобильный мобильная
морис мориса
мочь могут
мы нами
навигация навигации навигация
название названия названиям
начало начале
некоммерческий некоммерческой
новый новые
ноябрь ноября
нужный нужную
обсуждение обсуждение
общий общая
описание описание
организация организации
ответственность ответственности
отдельный отдельных
отказ отказ
относительность относительности относительность
отредактировать отредактирована
ошибка ошибке
перейти перейти
персональный персональные
печать печати печать
поведение поведения
подробный подробнее
пожалуйста пожалуйста
пожертвовать пожертвовать
поиск поиск поиску
политика политика
получить получить
попасть попали
последний последний
постоянный постоянная
править править
правка правки
представиться представились
примечание примечания
принцип принцип
проект проект проектах
просмотр просмотры
разработчик разработчики
русский русский
сведение сведения
свежий свежие
свободный свободной
связанный связанные
связаться свяжитесь
система системе
скачать скачать
слово слова
словосочетание словосочетания
служебный служебные
случай случаях
случайный случайная
смотреть см
событие события
содержание содержание
создать создать
сообщество сообщество
сообщить сообщить
соответствующий соответствующие
сохранение сохранением
специальный специальная
список список
справка справка
ссылка ссылка ссылками ссылки ссылку
статистика статистика
статья статьи статью статья
страница страница странице страницу страницы
сюда сюда
также также
текст текст
текущий текущие
теория теория
термин термин
товарный товарный
указание указанием
указывать указывала
условие условий условия
уточнить уточните
участие участие
учётный учётную
философский философский
фонд фонд
форум форум
цитировать цитировать
читать читать
экспорт экспорт
элемент элемент
энциклопедия энциклопедии
этот эта
эшер эшера
язык языках
associated-pages associated-pages
by-sa by-sa
cc cc
commons commons
creative creative
english english
foundation foundation
hrvatski hrvatski
https https
inc inc
index index
italiano italiano
latina latina
oldid oldid
org org
pdf pdf
php php
ru ru
simple simple
tagalog tagalog
title title
url url
wikimedia wikimedia
wikipedia wikipedia
